cedula;nombre;edad;correo;telefono;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanas;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
9476582673;Camila Castaño;80;camilacastaño844@gmail.com;3198492851;False;True;False;mininterior;False;True;True;True;False;1625;Medellín;Santa Marta;True;Protección;null
1003757203;Sofía Torres;53;sofíatorres652@gmail.com;3183269132;True;True;True;inpec;True;True;True;False;False;1921;Bucaramanga;Barranquilla;False;Colfondos;null
7041066904;Carlos Ramírez;57;carlosramírez436@gmail.com;3028288948;False;False;True;mininterior;True;False;True;False;False;709;Medellín;Barranquilla;False;Extranjero;null
6710066061;Valentina Torres;59;valentinatorres378@gmail.com;3052362744;False;False;False;mininterior;False;False;True;False;True;1780;Cartagena;Medellín;False;Extranjero;null
2052748153;Carlos Rodríguez;25;carlosrodríguez939@gmail.com;3055851330;True;False;True;inpec;True;True;False;False;True;1247;Santa Marta;Pereira;False;OldMutual;null
8513841548;Camila Castaño;73;camilacastaño518@gmail.com;3224733476;True;False;False;minsalud;False;True;False;True;True;277;Barranquilla;Santa Marta;True;OldMutual;null
4542181371;Camila Rodríguez;41;camilarodríguez714@gmail.com;3299539519;True;False;False;policia;True;True;True;False;False;1315;Barranquilla;Medellín;False;OldMutual;null
9258124452;María Martínez;34;maríamartínez754@gmail.com;3404037215;False;True;True;mininterior;True;False;True;False;True;1631;Bogotá;Bucaramanga;False;OldMutual;null
2414897639;Carlos García;25;carlosgarcía534@gmail.com;3145024176;True;False;True;armada;True;True;True;False;True;1769;Cali;Pereira;False;Colfondos;null
9551556337;Camila Ramírez;66;camilaramírez107@gmail.com;3089678638;True;False;False;inpec;True;True;False;True;True;1840;Santa Marta;Medellín;True;Porvenir;null
6598014156;Juan Ramírez;49;juanramírez58@gmail.com;3134454816;False;True;True;minsalud;False;True;True;False;False;1116;Bogotá;Barranquilla;False;Porvenir;null
3444983857;Carlos Hernández;28;carloshernández400@gmail.com;3109840212;False;False;False;armada;True;True;True;False;True;1364;Cartagena;Cartagena;False;Colfondos;null
1037146722;Andrés Torres;31;andréstorres545@gmail.com;3138736621;True;False;False;policia;False;False;True;False;True;1300;Cali;Cali;False;Colfondos;null
3429314384;Andrés Castaño;29;andréscastaño317@gmail.com;3508501993;False;True;False;armada;True;True;True;False;False;936;Manizales;Cali;False;Protección;null
7946591489;Luisa Torres;50;luisatorres806@gmail.com;3108687656;False;False;False;minsalud;True;False;True;False;True;500;Cali;Manizales;False;Colfondos;null
1695694989;Sofía García;28;sofíagarcía577@gmail.com;3263881787;False;True;False;inpec;True;False;False;False;True;876;Manizales;Armenia;False;Extranjero;null
5301946403;Santiago García;42;santiagogarcía832@gmail.com;3033433252;False;False;True;minsalud;True;False;True;False;False;638;Bogotá;Bogotá;False;Protección;null
9386270431;Luisa García;37;luisagarcía860@gmail.com;3272844708;False;True;True;armada;False;True;True;False;True;620;Bucaramanga;Armenia;False;Extranjero;null
8518947688;Camila Rodríguez;49;camilarodríguez497@gmail.com;3098707126;False;True;True;minsalud;False;False;True;False;False;1565;Barranquilla;Armenia;False;Extranjero;null
2195787516;Luisa Hernández;42;luisahernández73@gmail.com;3244968378;True;False;True;policia;False;True;True;False;False;1240;Santa Marta;Barranquilla;False;Protección;null
7108941820;Carlos Castaño;47;carloscastaño953@gmail.com;3442268847;False;False;False;minsalud;True;True;True;False;False;822;Armenia;Santa Marta;False;Porvenir;null
5837824985;María Castaño;47;maríacastaño271@gmail.com;3138697000;False;True;False;mininterior;True;True;False;False;False;1445;Bucaramanga;Pereira;False;Porvenir;null
7289370177;Luisa Torres;65;luisatorres425@gmail.com;3009605901;False;True;False;policia;True;True;True;True;True;417;Manizales;Pereira;True;Protección;null
4606506745;Diego Pérez;76;diegopérez78@gmail.com;3436056770;False;True;True;policia;True;True;True;True;True;1564;Cartagena;Santa Marta;True;Extranjero;null
4591044249;Carlos Gómez;79;carlosgómez910@gmail.com;3018839135;False;True;True;mininterior;False;True;True;True;True;1579;Pereira;Manizales;True;OldMutual;null
3027135050;Juan Hernández;37;juanhernández411@gmail.com;3195234614;False;True;False;inpec;False;True;True;False;False;1605;Medellín;Cartagena;False;Porvenir;null
3610768524;Juan Hernández;59;juanhernández5@gmail.com;3308252868;False;False;False;minsalud;False;False;False;False;False;1747;Armenia;Pereira;False;Extranjero;null
6626027280;Juan Gómez;65;juangómez345@gmail.com;3503719601;False;False;True;mininterior;True;True;True;True;True;1972;Barranquilla;Cartagena;True;Colfondos;null
9732384297;Camila García;28;camilagarcía766@gmail.com;3256350317;True;False;True;armada;True;True;False;False;True;1328;Bogotá;Cali;False;OldMutual;null
8444991192;Valentina Castaño;36;valentinacastaño278@gmail.com;3118521677;True;True;True;minsalud;False;True;True;False;False;307;Bogotá;Medellín;False;Porvenir;null
6589606766;Andrés Gómez;59;andrésgómez735@gmail.com;3118709952;False;False;True;inpec;True;True;True;False;False;488;Bucaramanga;Cali;False;Extranjero;null
